STATION,NAME,DATE,AWND,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/1/2000,8.72,0,,0,0,39,55,23,418,0,1,,,,,,,,,,1,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/2/2000,15.43,0.14,,0,0,55,62,47,55,0,1,,,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/3/2000,9.62,0.79,,0,0,48,57,38,0,0,1,,1,,,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/4/2000,17.22,0.05,,0.1,0,45,59,30,0,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/5/2000,9.17,0.11,,1.2,1,29,31,26,349,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/6/2000,12.3,0,,0,0,35,40,29,136,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/7/2000,11.18,0,,0,0,32,38,25,88,0,1,,,,,,,,,,1,,,,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/8/2000,12.53,0,,0,0,34,44,23,488,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/9/2000,8.5,0,,0,0,42,47,37,19,0,,,,,,,,,,,,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/10/2000,17,0.12,,0,0,47,53,41,118,0,1,,1,1,1,,,,,,1,,,1,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/11/2000,19.24,0.02,,0,0,39,46,31,104,0,1,,,,,,,,,,1,,,1,,1,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/12/2000,8.72,0,,0,0,32,38,25,223,0,,,,,,,,,,,,,,,,,,,,,
USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1/13/2000,16.11,0.19,,2.8,1,27,32,21,34,0.2,1,,,,,1,,,,,1,,1,1,,1,,,1,,
